Bietigheim-Bissingen, Stadt;74321;  31,29; 43 068; 21 239; 21 829
Wismar, Hansestadt;23952;  41,72; 42 992; 21 023; 21 969
Halberstadt, Stadt;38820;  142,98; 42 980; 22 117; 20 863
Pinneberg, Stadt;25421;  21,54; 42 638; 20 701; 21 937
Eisenach, Stadt;99817;  104,17; 42 588; 20 969; 21 619
Weiden i.d.OPf.;92637;  70,57; 42 494; 20 457; 22 037
Borken, Stadt;46325;  152,97; 42 388; 20 838; 21 550
Amberg;92224;  50,13; 42 348; 20 901; 21 447
Nordhausen, Stadt;99734;  105,62; 42 129; 20 660; 21 469
Nettetal, Stadt;41334;  83,87; 42 093; 20 804; 21 289
Homburg, Kreisstadt;66424;  82,61; 42 040; 20 562; 21 478
Gifhorn, Stadt;38518;  105,39; 42 019; 20 753; 21 266
Aurich, Stadt;26603;  197,29; 41 793; 20 579; 21 214
Freiberg, Stadt, Universitätsstadt;09599;  48,32; 41 642; 20 955; 20 687
Ansbach;91522;  99,91; 41 532; 19 885; 21 647
Wunstorf, Stadt;31515;  125,74; 41 478; 20 210; 21 268
Heinsberg, Stadt;52525;  92,21; 41 471; 20 386; 21 085
Laatzen, Stadt;30880;  34,16; 41 389; 20 031; 21 358
Lemgo, Stadt;32657;  100,85; 41 087; 20 309; 20 778
Coburg;96450;  48,29; 41 071; 19 929; 21 142
Dreieich, Stadt;63303;  53,30; 41 042; 20 125; 20 917
Siegburg, Stadt;53721;  23,66; 41 034; 20 149; 20 885
Königswinter, Stadt;53639;  76,17; 40 927; 19 936; 20 991
Monheim am Rhein, Stadt;40789;  23,05; 40 814; 19 633; 21 181
Nürtingen, Stadt;72622;  46,88; 40 752; 20 364; 20 388
Schwabach;91126;  40,80; 40 707; 19 821; 20 886
Weißenfels, Stadt;06667;  113,55; 40 671; 20 632; 20 039
Pirmasens, Stadt;66953;  61,36; 40 416; 19 684; 20 732
Bensheim, Stadt;64625;  57,83; 40 168; 19 662; 20 506
Stendal, Hansestadt;39576;  268,02; 40 164; 19 671; 20 493
Kirchheim unter Teck, Stadt;73230;  40,47; 40 130; 19 826; 20 304
Germering, GKSt;82110;  21,60; 40 039; 19 296; 20 743
Buxtehude, Hansestadt;21614;  76,69; 40 033; 19 907; 20 126
Eberswalde, Stadt;16225;  93,64; 40 019; 19 708; 20 311
Bautzen, Stadt;02625;  66,69; 39 963; 19 425; 20 538
Bitterfeld-Wolfen, Stadt;06766;  86,96; 39 843; 19 252; 20 591
Löhne, Stadt;32584;  59,51; 39 767; 19 457; 20 310
Leinfelden-Echterdingen, Stadt;70771;  29,89; 39 688; 19 732; 19 956
Völklingen, Stadt;66333;  67,10; 39 574; 19 277; 20 297
Neumarkt i.d.OPf., GKSt;92318;  79,01; 39 573; 19 306; 20 267
